종목코드,종목명,현재가,등락률,3개월수익률,시가총액(억),배당수익률,총보수,NAV,거래량,거래대금
283580,KODEX 차이나CSI300,14635.0,-0.8804605485946495,-14.808568019221,2422.0925,2.3379,0.22,14683.58,111080.0,16.31284746
0182S0,1Q K반도체TOP2채권혼합50,12745.0,0.7111813512445674,-1.268164544294,2415.1775,0.0,0.03,12772.4,233779.0,29.9119795
493810,TIGER 미국AI빅테크10타겟데일리커버드콜,11105.0,-0.5819158460161146,-8.974033685419,2354.26,16.2464,0.33,11078.87,125406.0,13.93261274
442320,RISE 글로벌원자력,37175.0,1.8493150684931507,-10.68473409046,2330.8725,0.4483,0.48,37134.65,10370.0,3.87594168
363570,KODEX 장기종합채권(AA-이상)액티브,86180.0,-0.12168974908732688,-0.901996997422,2326.86,1.7054,0.06,86241.5,620.0,0.5346434
452360,SOL 미국배당다우존스(H),13415.0,-0.3343239227340267,7.985351927038,2320.795,2.7461,0.13,13422.06,186662.0,25.03398645
478150,TIME 글로벌우주테크&방산액티브,18265.0,-0.6797172376291463,-19.471731997597,2310.5225,0.461,0.86,18221.54,20335.0,3.72122947
329650,KODEX TRF3070,13940.0,-0.35739814152966404,-2.38399102574,2300.1,2.5512,0.29,13989.7,12272.0,1.71299056
117700,KODEX 건설,7255.0,0.3457814661134163,8.38875590886,2299.835,0.4695,0.46,7287.28,2615833.0,193.45630695
472160,TIGER 미국테크TOP10 INDXX(H),18905.0,-0.10568031704095113,1.755909932189,2296.9575,0.2376,0.56,18862.31,35148.0,6.63792355
433500,ACE 원자력TOP10,61970.0,1.5402261183024741,-0.235833280262,2292.89,0.4577,0.35,62136.93,158853.0,100.66031422
0092C0,SOL 27-12 회사채(AA-이상)액티브,50325.0,0.0,0.981164602148,2283.7485,0.6759,0.07,50317.08,3.0,0.00150975
422420,RISE 2차전지액티브,7030.0,6.757782839787396,-15.080156847247,2280.532,0.4547,0.41,7066.79,258730.0,17.77144585
437080,KODEX 미국종합채권ESG액티브(H),96510.0,-0.056956454201832964,-0.942037033462,2272.8105,4.589,0.23,96549.21,5525.0,5.33234165
0089D0,KODEX 금융고배당TOP10,13385.0,-1.2905604719764012,7.582096811567,2262.065,3.6642,0.33,13410.45,209001.0,28.06875573
157500,TIGER 증권,12435.0,-0.04019292604501608,-17.771129715277,2258.196,3.5447,0.45,12473.27,288988.0,36.09713991
0104N0,TIGER 200타겟위클리커버드콜,21470.0,0.7508212106992023,-7.0861925132,2232.88,5.1733,0.28,21532.6,28340.0,6.11814754
458260,TIGER 미국투자등급회사채액티브(H),46090.0,-0.03253443227415682,-1.638428733252,2221.538,4.9492,0.2,46097.07,2312.0,1.0656557
267770,TIGER 200선물레버리지,87420.0,1.5861948753704027,-26.880409128225,2185.5,0.3438,0.04,87499.44,51945.0,45.41195148
486450,SOL 미국AI전력인프라,20050.0,2.348136804492088,-18.968259122502,2185.45,0.6165,0.55,19993.16,34808.0,6.9905211
488980,SOL 26-12 회사채(AA-이상)액티브,52155.0,0.009587727708533078,0.768507909725,2148.786,2.4066,0.07,52157.58,4.0,0.0020862
266160,RISE 고배당,33645.0,0.1786511835640911,-4.046404501194,2136.4575,1.8602,0.26,33734.96,22189.0,7.50060129
332930,HANARO 200TR,147240.0,1.520322680732237,-7.059419799718,2134.98,0.0,0.06,146580.48,490.0,0.72362555
244580,KODEX 바이오,8115.0,-0.3683241252302026,-12.12327460358,2116.392,0.0,0.49,8127.75,234244.0,19.01611866
305080,TIGER 미국채10년선물,11810.0,-0.6728343145500421,-13.304357260532,2113.99,0.5459,0.34,11810.14,40058.0,4.73798224
0233J0,TIGER 삼성전자SK하이닉스미국채혼합50,10520.0,0.33381020505484027,,2104.0,0.0,0.0,10553.48,645047.0,68.03957579
498270,KIWOOM 미국양자컴퓨팅,13955.0,0.7581227436823105,-21.861713781994,2100.2275,0.3342,0.59,13881.74,36134.0,5.04745919
