종목코드,종목명,현재가,NAV,3개월수익률,거래량,거래대금,시가총액(억),등락률
387280,TIGER 퓨처모빌리티액티브,11490,11484.0,-24.3966,6945,80,146,-2.17
244620,KODEX 모멘텀Plus,20485,20183.0,-14.7894,1239,25,143,0.29
453630,KODEX 미국S&P500필수소비재,11930,12023.0,-8.7596,7051,83,143,-0.42
234310,RISE V&S셀렉트밸류,28595,28639.0,-11.3518,172,4,143,-0.9
0090B0,PLUS K방산소부장,6640,6645.0,-30.5643,29963,200,143,-0.08
484890,SOL 머니마켓액티브,52560,52560.0,0.6993,8074,424,141,0.0
0194R0,KIWOOM SK하이닉스선물단일종목레버리지,9235,9353.0,-53.67,59987,582,141,1.88
496130,TRUSTON 코리아밸류업액티브,25860,25838.0,-14.9811,53,1,140,0.04
0013P0,RISE 미국은행TOP10,12640,12734.0,-4.0816,10253,129,139,-0.51
266390,KODEX 경기소비재,15445,15450.0,-12.6238,2792,43,139,0.29
417450,RISE 글로벌수소경제,16335,16172.0,-27.6433,2503,40,139,1.15
137610,TIGER 농산물선물Enhanced(H),6030,6030.0,16.2585,22590,135,139,1.6
453820,KODEX 인도Nifty50레버리지(합성),10665,10692.0,-20.4127,3709,39,139,-1.25
0216Z0,ACE K방산TOP5+,8375,8388.0,,32175,273,138,-0.12
0220A0,KIWOOM 현대차그룹TOP3채권혼합50,9175,9184.0,,18889,174,138,-1.08
373490,KODEX 코리아혁신성장액티브,24875,24905.0,-22.0776,57,1,137,-2.18
0153P0,ACE 리츠부동산인프라액티브,9430,9478.0,5.2922,11189,106,137,-0.05
0088N0,WON K-글로벌수급상위,10935,10951.0,-16.2605,2334,25,137,-0.55
102960,KODEX 기계장비,13650,13641.0,-17.5512,8545,119,137,-1.83
409810,KODEX 미국나스닥100선물인버스(H),5525,5525.0,1.3812,30808,169,135,0.36
266410,KODEX 필수소비재,9645,9662.0,7.2198,217767,2102,135,-0.92
0084E0,KIWOOM 미국대형주500월간목표헤지액티브,9965,9947.0,-12.3447,752,7,135,-0.25
472720,TRUSTON 주주가치액티브,25870,25754.0,-12.0458,173,4,135,-1.03
485810,TIME 글로벌바이오액티브,11180,11261.0,3.6985,2594,29,134,-0.31
0104G0,PLUS K방산레버리지,5585,5600.0,-40.1476,47699,275,134,-1.67
0028X0,KODEX 미국금융테크액티브,11565,11698.0,1.5995,2101,24,133,-1.03
0004G0,1Q 미국배당TOP30,8800,8870.0,-6.7225,14600,128,132,-0.23
252650,KODEX 200동일가중,18835,18826.0,-6.5256,1144,21,132,-0.13
0127V0,KIWOOM 미국S&P500 TOP10&배당다우비중전환,10525,10532.0,-10.2752,3893,40,132,-0.14
